#OTU ID	S1	S2	S3	S4	S5	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	H1	H2	H3	H4	H5
ZOTU_290	0	0	58	24	0	0	0	0	0	0	0	0	0	0	168	0	0	0
ZOTU_291	0	0	0	0	2	0	53	0	0	0	58	28	0	0	40	0	0	64
ZOTU_292	0	0	0	0	0	1	0	1	1	1	1	272	0	0	0	0	0	0
ZOTU_293	0	0	1	0	0	0	0	0	0	0	0	213	7	0	0	0	0	0
ZOTU_294	0	1	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_295	0	95	12	0	40	1	2	46	1	12	28	1	4	0	0	0	0	0
ZOTU_296	0	36	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_297	0	0	0	206	0	0	1	0	27	0	7	3	1	0	0	0	0	13
ZOTU_298	1	21	0	1	0	0	120	0	0	1	0	0	1	4	61	29	0	2
ZOTU_299	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	2	0	0
ZOTU_300	0	134	0	4	0	0	5	0	6	0	0	2	0	0	0	0	111	0
ZOTU_301	0	0	0	8	0	0	0	0	2	0	0	152	0	1	74	0	0	0
ZOTU_302	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_303	0	0	0	0	40	0	0	0	0	0	0	0	0	1	4	192	0	0
ZOTU_304	0	0	0	0	0	38	0	2	4	2	1	10	0	1	161	11	0	0
ZOTU_305	0	7	0	51	0	0	9	0	104	0	0	0	0	0	0	0	15	51
ZOTU_306	0	0	0	1	0	1	0	4	0	0	1	206	0	1	0	0	2	0
ZOTU_307	0	0	0	7	200	0	0	1	0	0	0	0	6	13	0	0	0	0
ZOTU_308	1	1	0	2	60	79	26	0	0	1	0	0	0	1	63	1	0	4
ZOTU_309	0	0	2	0	0	0	1	1	0	0	271	0	1	0	0	0	0	0
ZOTU_310	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0
ZOTU_311	57	15	0	0	9	144	1	0	0	0	1	0	3	1	0	7	1	1
ZOTU_312	0	0	17	3	0	130	4	4	8	4	0	4	27	33	29	35	0	0
ZOTU_313	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0
ZOTU_314	1	1	0	0	0	161	0	7	0	0	0	0	0	13	39	0	0	4
ZOTU_315	0	45	131	0	42	19	8	0	0	0	0	0	10	0	0	10	0	0
ZOTU_316	0	0	36	0	0	3	27	7	35	53	0	0	0	72	0	0	0	0
ZOTU_317	0	0	0	7	0	16	1	7	0	0	43	88	11	1	38	0	8	4
ZOTU_318	46	10	0	6	13	49	3	51	3	29	6	28	9	1	2	1	6	9
ZOTU_319	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	1	0
ZOTU_320	0	1	0	0	0	213	1	0	0	1	0	0	0	0	0	0	0	0
ZOTU_321	0	0	0	7	0	0	0	1	0	0	1	218	0	0	0	0	0	0
ZOTU_322	12	21	4	1	0	105	0	44	0	1	1	0	0	0	1	52	1	0
ZOTU_323	0	0	6	0	128	0	100	1	0	0	1	0	0	0	2	0	3	20
ZOTU_324	0	0	0	0	0	0	0	0	0	2	0	208	0	0	0	0	0	0
ZOTU_325	5	2	51	0	25	7	9	53	4	14	0	86	2	12	0	0	0	1
ZOTU_326	0	0	18	0	202	0	6	0	1	0	1	0	0	0	0	0	0	0
ZOTU_327	0	0	0	0	0	0	0	0	203	13	0	0	0	0	0	0	0	0
ZOTU_328	1	139	0	0	0	0	0	89	0	0	2	0	0	0	0	0	0	0
ZOTU_329	0	0	8	59	0	0	35	47	0	0	0	81	8	0	0	0	0	2
ZOTU_330	13	0	0	9	0	0	4	0	0	1	0	4	0	6	0	0	207	0
